name,delta,delta_,mnnd,pd,spd,psv,psr,mpd
IMD407_lesion,53.97179394534535,53.57976428172099,289671391478.0,27.544995822427875,176398563.2467194,-0.6805418356040553,-159.24678953134895,5404.367746529393
IMD406_lesion,41.76714901559101,12.938300016405087,698414439758.0,28.891985460168517,141570315.4282397,-1.9097901616789275,-362.86013071899623,4337.3258403259715
IMD080_lesion,29.920744737375298,5.903447070246294,1204730293596.0,29.84055320811138,118042443.44821239,-1.5543859168043936,-306.21402561046557,3616.4964291731735
IMD285_lesion,25.330131816215378,1.2714689146220164,1614747704996.0,30.237642321528735,107332101.63382697,-2.3373354346498614,-402.02169475977615,3288.3609569187183
IMD417_lesion,25.159664184392792,2.56916694433597,2464425220720.0,30.318308394420043,89949343.78024167,-3.0237880411653766,-631.9717006035637,2755.800973659365
IMD090_lesion,26.534792582895957,1.0371678526093535,3083431615772.0,30.57950939797402,87791763.93946843,-3.861268128380949,-633.2479730544757,2689.698650106263
IMD168_lesion,30.765894264505214,0.11218579759433307,3235263636092.0,30.862602286483508,88286289.67020108,-0.6719518571082903,-100.12082670913526,2704.8495609742977
IMD408_lesion,43.79475318805337,1.4726435111145542,3972366686020.0,30.896810174435693,91565377.34389374,-3.0272852751115082,-699.3028985507584,2805.3118058790974
IMD420_lesion,45.52751939007945,0.7964373048095835,4590090111321.0,30.968563386639897,94472676.46421653,-2.8017754435099493,-630.3994747897386,2894.383470104673
IMD411_lesion,34.559146352026374,0.7420946059743687,5224326541454.0,31.061581712016,99736891.7228411,-1.7610736289753781,-382.15297748765704,3055.6645748419455
IMD421_lesion,37.116063533796726,0.5436549332503271,5986727113830.0,31.093120443566463,97121233.45375594,-3.4191395891682332,-769.3064075628524,2975.527985715562
IMD058_lesion,30.410062088199908,0.19370202472203446,6525738012698.0,31.1584844724655,96702013.68711166,-1.220422908490174,-289.24022931217127,2962.6842428649406
IMD429_lesion,33.84329329562838,0.01631737397233258,6680030567103.0,31.234062256940597,96720832.00006458,-0.58965263301021,-104.36851604280717,2963.2607843157043
IMD403_lesion,29.902146088738412,0.1977476880892434,7328160212876.0,31.260959089801922,95581154.69836648,-2.165886653347156,-469.9974037763328,2928.3442003176006
IMD348_lesion,26.946829384198182,0.15825814021216855,7813678285075.0,31.303700860568348,95551776.778313,-0.7989930974595076,-202.14525365725544,2927.4441414924327
IMD405_lesion,31.678320731902733,0.008785654298673909,7956539814536.0,31.347539942213505,95537730.54666317,-0.7046201620225333,-119.78542754383066,2927.013803512965
IMD065_lesion,35.68042943105518,0.15209766921329623,8415556081682.0,31.3750185381717,97377228.18497409,-0.9403762340891769,-218.16728630868906,2983.3709615494513
IMD085_lesion,23.96575257076313,0.00962190766660481,8602549309944.0,31.404437910702836,97219219.03243993,-0.46432192876223427,-96.1146392537825,2978.5299948664197
IMD410_lesion,27.598873250894993,0.06406079862646812,9088917304520.0,31.416101283144087,95896989.75733683,-2.0140133921758108,-426.9708391412719,2938.0205195262506
IMD418_lesion,29.156316583322063,0.06635325521404184,9563280375569.0,31.43113707058942,95643839.33196945,-1.289584527301229,-286.28776506087286,2930.264685415731
IMD409_lesion,42.06196574592844,0.1136713985426118,10112647969190.0,31.44195373383242,96924392.2733723,-1.780819244395037,-420.27334167722876,2969.497312296946
IMD435_lesion,40.16015261987256,0.13761239337396097,10767156455678.0,31.44680851451633,96573472.82617345,-3.082650601855579,-699.7616866212164,2958.7461037430594
IMD064_lesion,24.665164137175815,0.07708513815932941,11332138121549.0,31.460050828867963,95841995.33238028,-0.9374406000929987,-238.10991242362167,2936.3356413106703
IMD240_lesion,37.135557422859094,0.14251091310268083,12119707887154.0,31.464957801928634,97332454.47349307,-1.9360572401407123,-472.3979665943338,2981.9992179379005
