name,label
IMD407_lesion,2
IMD406_lesion,2
IMD080_lesion,2
IMD285_lesion,2
IMD417_lesion,2
IMD090_lesion,2
IMD168_lesion,2
IMD408_lesion,2
IMD420_lesion,2
IMD411_lesion,2
IMD421_lesion,2
IMD058_lesion,2
IMD429_lesion,2
IMD403_lesion,2
IMD348_lesion,2
IMD405_lesion,2
IMD065_lesion,2
IMD085_lesion,2
IMD410_lesion,2
IMD418_lesion,2
IMD409_lesion,2
IMD435_lesion,2
IMD064_lesion,2
IMD240_lesion,2
IMD088_lesion,2
IMD404_lesion,2
IMD425_lesion,2
IMD061_lesion,2
IMD211_lesion,2
IMD424_lesion,2
IMD063_lesion,2
IMD091_lesion,2
IMD413_lesion,2
IMD242_lesion,2
IMD423_lesion,2
IMD349_lesion,2
IMD219_lesion,2
IMD284_lesion,2
IMD426_lesion,2
IMD419_lesion,2
IMD160_lesion,1
IMD400_lesion,1
IMD390_lesion,1
IMD150_lesion,1
IMD162_lesion,1
IMD356_lesion,1
IMD434_lesion,1
IMD152_lesion,1
IMD045_lesion,1
IMD393_lesion,1
IMD436_lesion,1
IMD017_lesion,1
IMD049_lesion,1
IMD103_lesion,1
IMD375_lesion,1
IMD101_lesion,1
IMD430_lesion,1
IMD182_lesion,1
IMD037_lesion,1
IMD364_lesion,1
IMD092_lesion,1
IMD036_lesion,1
IMD169_lesion,1
IMD003_lesion,1
IMD076_lesion,1
IMD379_lesion,1
IMD328_lesion,1
IMD031_lesion,1
IMD398_lesion,1
IMD108_lesion,1
IMD171_lesion,1
IMD198_lesion,1
IMD024_lesion,1
IMD139_lesion,1
IMD385_lesion,1
IMD176_lesion,1
IMD118_lesion,1
IMD134_lesion,1
IMD177_lesion,1
IMD138_lesion,1
IMD384_lesion,1
IMD078_lesion,1
IMD143_lesion,1
IMD048_lesion,1
IMD126_lesion,1
IMD009_lesion,1
IMD144_lesion,1
IMD125_lesion,1
IMD043_lesion,1
IMD226_lesion,1
IMD397_lesion,1
IMD369_lesion,1
IMD041_lesion,1
IMD279_lesion,1
IMD372_lesion,1
IMD013_lesion,1
IMD039_lesion,1
IMD175_lesion,1
IMD382_lesion,1
IMD392_lesion,1
IMD394_lesion,1
IMD133_lesion,1
IMD047_lesion,1
IMD159_lesion,1
IMD035_lesion,1
IMD381_lesion,1
IMD368_lesion,1
IMD107_lesion,1
IMD347_lesion,1
IMD399_lesion,1
IMD025_lesion,1
IMD204_lesion,1
IMD137_lesion,1
IMD371_lesion,1
IMD010_lesion,1
IMD380_lesion,1
IMD206_lesion,1
IMD032_lesion,1
IMD002_lesion,1
IMD044_lesion,1
IMD374_lesion,1
IMD038_lesion,1
IMD203_lesion,1
IMD367_lesion,1
IMD020_lesion,1
IMD033_lesion,1
IMD021_lesion,1
IMD278_lesion,1
IMD006_lesion,1
IMD004_lesion,1
IMD023_lesion,1
IMD280_lesion,1
IMD304_lesion,1
IMD312_lesion,1
IMD008_lesion,1
IMD057_lesion,1
IMD075_lesion,1
IMD016_lesion,1
IMD360_lesion,1
IMD431_lesion,1
IMD339_lesion,1
IMD166_lesion,1
IMD370_lesion,1
IMD135_lesion,1
IMD132_lesion,1
IMD376_lesion,1
IMD256_lesion,1
IMD014_lesion,1
IMD142_lesion,1
IMD147_lesion,1
IMD251_lesion,1
IMD027_lesion,1
IMD378_lesion,1
IMD018_lesion,1
IMD437_lesion,1
IMD200_lesion,1
IMD170_lesion,1
IMD105_lesion,1
IMD306_lesion,1
IMD155_lesion,1
IMD432_lesion,1
IMD254_lesion,1
IMD396_lesion,1
IMD208_lesion,1
IMD161_lesion,1
IMD386_lesion,1
IMD019_lesion,1
IMD149_lesion,1
IMD395_lesion,1
IMD154_lesion,1
IMD331_lesion,1
IMD146_lesion,1
IMD365_lesion,1
IMD022_lesion,1
IMD402_lesion,1
IMD243_lesion,1
IMD112_lesion,1
IMD156_lesion,1
IMD388_lesion,1
IMD196_lesion,1
IMD042_lesion,1
IMD040_lesion,1
IMD199_lesion,1
IMD383_lesion,1
IMD433_lesion,1
IMD207_lesion,1
IMD173_lesion,1
IMD305_lesion,1
IMD164_lesion,1
IMD197_lesion,1
IMD389_lesion,1
IMD210_lesion,1
IMD153_lesion,1
IMD050_lesion,1
IMD030_lesion,1
IMD120_lesion,1
IMD427_lesion,1
IMD015_lesion,1
IMD157_lesion,1
IMD140_lesion,1
