name,label
Im219_normal,1
Im445_glaucoma,2
Im344_glaucoma,2
Im057_normal,1
Im167_normal,1
Im433_glaucoma,2
Im438_glaucoma,2
Im447_glaucoma,2
Im143_normal,1
Im085_normal,1
Im168_normal,1
Im296_glaucoma,2
Im114_normal,1
Im125_normal,1
Im322_glaucoma,2
Im245_normal,1
Im150_normal,1
Im153_normal,1
Im253_normal,1
Im342_glaucoma,2
Im347_glaucoma,2
Im440_glaucoma,2
Im339_glaucoma,2
Im305_glaucoma,2
Im391_glaucoma,2
Im239_normal,1
Im401_glaucoma,2
Im450_glaucoma,2
Im416_glaucoma,2
Im052_normal,1
Im384_glaucoma,2
Im066_normal,1
Im128_normal,1
Im179_normal,1
Im175_normal,1
Im116_normal,1
Im122_normal,1
Im248_normal,1
Im236_normal,1
Im164_normal,1
Im393_glaucoma,2
Im146_normal,1
Im218_normal,1
Im130_normal,1
Im182_normal,1
Im374_glaucoma,2
Im247_normal,1
Im086_normal,1
Im417_glaucoma,2
Im356_glaucoma,2
Im169_normal,1
Im154_normal,1
Im109_normal,1
Im246_normal,1
Im358_glaucoma,2
Im428_glaucoma,2
Im375_glaucoma,2
Im404_glaucoma,2
Im303_glaucoma,2
Im373_glaucoma,2
Im069_normal,1
Im328_glaucoma,2
Im308_glaucoma,2
Im412_glaucoma,2
Im311_glaucoma,2
Im217_normal,1
Im093_normal,1
Im231_normal,1
Im411_glaucoma,2
Im067_normal,1
Im367_glaucoma,2
Im333_glaucoma,2
Im441_glaucoma,2
Im070_normal,1
Im063_normal,1
Im119_normal,1
Im242_normal,1
Im381_glaucoma,2
Im244_normal,1
Im216_normal,1
Im227_normal,1
Im113_normal,1
Im091_normal,1
Im413_glaucoma,2
Im176_normal,1
Im414_glaucoma,2
Im134_normal,1
Im188_normal,1
Im183_normal,1
Im190_normal,1
Im181_normal,1
Im089_normal,1
Im127_normal,1
Im395_glaucoma,2
Im455_glaucoma,2
Im171_normal,1
Im078_normal,1
Im439_glaucoma,2
Im062_normal,1
Im151_normal,1
Im422_glaucoma,2
Im402_glaucoma,2
Im222_normal,1
Im111_normal,1
Im396_glaucoma,2
Im152_normal,1
Im059_normal,1
Im106_normal,1
Im230_normal,1
Im444_glaucoma,2
Im229_normal,1
Im159_normal,1
Im184_normal,1
Im220_normal,1
Im300_glaucoma,2
Im123_normal,1
Im255_normal,1
Im084_normal,1
Im083_normal,1
Im434_glaucoma,2
Im100_normal,1
Im076_normal,1
Im210_normal,1
Im102_normal,1
Im088_normal,1
Im343_glaucoma,2
Im252_normal,1
Im427_glaucoma,2
Im329_glaucoma,2
Im437_glaucoma,2
Im334_glaucoma,2
Im250_normal,1
Im135_normal,1
Im366_glaucoma,2
Im351_glaucoma,2
Im365_glaucoma,2
Im382_glaucoma,2
Im319_glaucoma,2
Im453_glaucoma,2
Im379_glaucoma,2
Im155_normal,1
Im237_normal,1
Im435_glaucoma,2
Im380_glaucoma,2
Im235_normal,1
Im142_normal,1
Im454_glaucoma,2
Im200_normal,1
Im065_normal,1
Im362_glaucoma,2
Im163_normal,1
Im064_normal,1
Im335_glaucoma,2
Im399_glaucoma,2
Im058_normal,1
Im337_glaucoma,2
Im327_glaucoma,2
Im177_normal,1
Im323_glaucoma,2
Im389_glaucoma,2
Im160_normal,1
Im094_normal,1
Im430_glaucoma,2
Im354_glaucoma,2
Im452_glaucoma,2
Im165_normal,1
Im385_glaucoma,2
Im314_glaucoma,2
Im060_normal,1
Im092_normal,1
Im423_glaucoma,2
Im192_normal,1
Im117_normal,1
Im157_normal,1
Im443_glaucoma,2
Im306_glaucoma,2
Im448_glaucoma,2
Im297_glaucoma,2
Im074_normal,1
Im081_normal,1
Im415_glaucoma,2
Im212_normal,1
Im072_normal,1
Im195_normal,1
Im357_glaucoma,2
Im068_normal,1
Im202_normal,1
Im371_glaucoma,2
Im361_glaucoma,2
Im124_normal,1
Im359_glaucoma,2
Im234_normal,1
Im426_glaucoma,2
Im350_glaucoma,2
Im394_glaucoma,2
Im211_normal,1
Im377_glaucoma,2
Im213_normal,1
Im077_normal,1
Im137_normal,1
Im104_normal,1
Im071_normal,1
Im406_glaucoma,2
Im388_glaucoma,2
Im364_glaucoma,2
Im421_glaucoma,2
Im214_normal,1
Im243_normal,1
Im409_glaucoma,2
Im368_glaucoma,2
Im299_glaucoma,2
Im376_glaucoma,2
Im118_normal,1
Im378_glaucoma,2
Im149_normal,1
Im224_normal,1
Im132_normal,1
Im215_normal,1
Im107_normal,1
Im372_glaucoma,2
Im424_glaucoma,2
Im360_glaucoma,2
Im446_glaucoma,2
Im054_normal,1
Im390_glaucoma,2
Im346_glaucoma,2
Im141_normal,1
Im449_glaucoma,2
Im174_normal,1
Im313_glaucoma,2
Im073_normal,1
Im442_glaucoma,2
Im312_glaucoma,2
Im309_glaucoma,2
Im144_normal,1
Im156_normal,1
Im410_glaucoma,2
Im055_normal,1
Im355_glaucoma,2
Im138_normal,1
Im053_normal,1
Im056_normal,1
Im098_normal,1
Im251_normal,1
Im425_glaucoma,2
Im170_normal,1
Im301_glaucoma,2
Im203_normal,1
Im419_glaucoma,2
Im363_glaucoma,2
Im338_glaucoma,2
Im324_glaucoma,2
Im398_glaucoma,2
Im451_glaucoma,2
Im436_glaucoma,2
Im353_glaucoma,2
Im140_normal,1
Im079_normal,1
Im304_glaucoma,2
Im226_normal,1
Im180_normal,1
Im340_glaucoma,2
Im080_normal,1
Im209_normal,1
Im429_glaucoma,2
Im345_glaucoma,2
Im158_normal,1
Im223_normal,1
Im325_glaucoma,2
Im326_glaucoma,2
Im316_glaucoma,2
Im198_normal,1
Im194_normal,1
Im115_normal,1
Im249_normal,1
Im420_glaucoma,2
Im201_normal,1
Im386_glaucoma,2
Im241_normal,1
Im097_normal,1
Im232_normal,1
Im387_glaucoma,2
Im110_normal,1
Im196_normal,1
Im208_normal,1
Im408_glaucoma,2
Im105_normal,1
Im199_normal,1
Im172_normal,1
Im187_normal,1
Im302_glaucoma,2
Im186_normal,1
Im332_glaucoma,2
Im432_glaucoma,2
Im161_normal,1
Im099_normal,1
Im405_glaucoma,2
Im238_normal,1
Im228_normal,1
Im108_normal,1
Im330_glaucoma,2
Im147_normal,1
Im254_normal,1
Im221_normal,1
