name,label
Im043_normal,1
Im038_normal,1
Im278_glaucoma,2
Im017_normal,1
Im013_normal,1
Im015_normal,1
Im287_glaucoma,2
Im042_normal,1
Im022_normal,1
Im033_normal,1
Im002_normal,1
Im001_normal,1
Im293_glaucoma,2
Im007_normal,1
Im282_glaucoma,2
Im009_normal,1
Im257_glaucoma,2
Im281_glaucoma,2
Im279_glaucoma,2
Im292_glaucoma,2
Im019_normal,1
Im004_normal,1
Im266_glaucoma,2
Im274_glaucoma,2
Im040_normal,1
Im003_normal,1
Im030_normal,1
Im039_normal,1
Im275_glaucoma,2
Im005_normal,1
Im283_glaucoma,2
Im029_normal,1
Im035_normal,1
Im261_glaucoma,2
Im290_glaucoma,2
Im277_glaucoma,2
Im050_normal,1
Im262_glaucoma,2
Im276_glaucoma,2
Im051_normal,1
Im286_glaucoma,2
Im270_glaucoma,2
Im021_normal,1
Im023_normal,1
Im256_glaucoma,2
Im026_normal,1
Im265_glaucoma,2
Im044_normal,1
Im291_glaucoma,2
Im008_normal,1
Im294_glaucoma,2
Im031_normal,1
Im032_normal,1
Im285_glaucoma,2
Im018_normal,1
Im011_normal,1
Im012_normal,1
Im037_normal,1
Im288_glaucoma,2
Im048_normal,1
Im272_glaucoma,2
Im264_glaucoma,2
Im284_glaucoma,2
Im046_normal,1
Im268_glaucoma,2
Im041_normal,1
Im267_glaucoma,2
Im025_normal,1
Im269_glaucoma,2
Im006_normal,1
Im273_glaucoma,2
Im014_normal,1
Im271_glaucoma,2
Im036_normal,1
Im034_normal,1
Im020_normal,1
Im260_glaucoma,2
Im049_normal,1
Im010_normal,1
Im016_normal,1
Im259_glaucoma,2
Im045_normal,1
Im263_glaucoma,2
Im258_glaucoma,2
Im280_glaucoma,2
Im289_glaucoma,2
Im027_normal,1
Im024_normal,1
Im295_glaucoma,2
Im047_normal,1
Im028_normal,1
